timestamp,php_cpu,mysql_cpu,apache_cpu,total_app_cpu,app_memory_mb,system_cpu
2026-05-16T02:32:06.8948794+03:00,0,0,0,0,53.05,7
2026-05-16T02:32:14.7761505+03:00,0,0,0,0,53.95,14
2026-05-16T02:32:16.0869710+03:00,1.29,0,0,1.29,74.74,15
2026-05-16T02:32:17.3836879+03:00,2.41,0,0,2.41,75.73,16
2026-05-16T02:32:18.6893123+03:00,2.59,0,0,2.59,75.83,13
2026-05-16T02:32:19.9808857+03:00,2.22,0,0,2.22,77.86,32
2026-05-16T02:32:21.3054848+03:00,2.85,0,0,2.85,75.91,30
2026-05-16T02:32:22.6506484+03:00,2.61,0,0,2.61,77.91,23
2026-05-16T02:32:23.9612554+03:00,2.58,0,0,2.58,75.94,12
2026-05-16T02:32:25.2540666+03:00,1.51,0.1,0,1.61,75.94,12
2026-05-16T02:32:26.5512897+03:00,2.01,0,0,2.01,76.03,54
2026-05-16T02:32:27.8862236+03:00,3.02,0,0,3.02,76.03,18
2026-05-16T02:32:29.1797849+03:00,2.42,0,0,2.42,78.04,12
2026-05-16T02:32:30.4740104+03:00,2.72,0,0,2.72,76.04,18
2026-05-16T02:32:31.7666166+03:00,3.42,0,0,3.42,76.06,10
2026-05-16T02:32:33.0668969+03:00,1.9,0,0,1.9,78.06,14
2026-05-16T02:32:34.3626587+03:00,2.41,0,0,2.41,76.06,19
2026-05-16T02:32:35.6869878+03:00,2.85,0,0,2.85,76.06,14
2026-05-16T02:32:36.9843695+03:00,3.11,0,0,3.11,78.07,16
2026-05-16T02:32:38.2923867+03:00,2.49,0,0,2.49,76.07,11
2026-05-16T02:32:39.5867571+03:00,1.91,0,0,1.91,76.2,14
2026-05-16T02:32:40.8777383+03:00,2.42,0,0,2.42,78.07,12
2026-05-16T02:32:42.1729646+03:00,2.21,0,0,2.21,76.07,12
2026-05-16T02:32:43.4689879+03:00,2.21,0,0,2.21,76.08,15
2026-05-16T02:32:44.7792041+03:00,1.99,0,0,1.99,76.08,12
2026-05-16T02:32:46.0724540+03:00,1.71,0,0,1.71,76.08,13
2026-05-16T02:32:47.3720984+03:00,2.3,0,0,2.3,78.09,13
2026-05-16T02:32:48.6690222+03:00,2.21,0,0,2.21,76.09,15
2026-05-16T02:32:49.9692396+03:00,2.4,0,0,2.4,78.09,13
2026-05-16T02:32:51.2655992+03:00,2.21,0,0,2.21,76.09,10
2026-05-16T02:32:52.5769485+03:00,2.38,0,0,2.38,76.09,14
2026-05-16T02:32:53.8685469+03:00,2.92,0,0,2.92,76.09,11
2026-05-16T02:32:55.1596625+03:00,1.92,0.1,0,2.02,76.22,11
2026-05-16T02:32:56.4571824+03:00,2.01,0,0,2.01,76.1,15
2026-05-16T02:32:57.7646734+03:00,2.79,0,0,2.79,76.1,27
2026-05-16T02:32:59.0603194+03:00,1.71,0,0,1.71,76.11,12
2026-05-16T02:33:00.3558823+03:00,3.12,0,0,3.12,76.11,11
2026-05-16T02:33:01.6604447+03:00,2,0,0,2,76.11,12
2026-05-16T02:33:02.9494692+03:00,1.72,0,0,1.72,76.11,13
2026-05-16T02:33:04.2615329+03:00,2.18,0,0,2.18,76.16,13
2026-05-16T02:33:05.5597928+03:00,2.11,0,0,2.11,78.18,12
2026-05-16T02:33:06.8515066+03:00,2.22,0,0,2.22,74.2,11
2026-05-16T02:33:08.1630180+03:00,1.89,0.1,0,1.99,76.2,10
2026-05-16T02:33:09.4585206+03:00,2.31,0,0,2.31,74.2,15
2026-05-16T02:33:10.7508641+03:00,2.12,0,0,2.12,76.28,18
2026-05-16T02:33:12.0591853+03:00,1.69,0,0,1.69,76.28,15
2026-05-16T02:33:13.3577749+03:00,1.8,0,0,1.8,76.28,10
2026-05-16T02:33:14.6696483+03:00,2.78,0,0,2.78,76.29,11
2026-05-16T02:33:15.9943160+03:00,1.57,0,0,1.57,76.29,10
